	MCT.f.0141	MCT.f.0142	MCT.f.0143	MCT.f.0144	MCT.f.0145	MCT.f.0146	MCT.f.0147	MCT.f.0148	MCT.f.0149	MCT.f.0150	MCT.f.0151	MCT.f.0152	MCT.f.0153
MCT.f.0141	0.0	9.26420459729	14.9090507891	9.39378970139	9.33335059768	11.0096510336	11.5401328985	10.7376891897	9.61081490987	14.6968242631	12.8166957376	10.4319802897	10.5443637071
MCT.f.0142	9.26420459729	0.0	13.0214354325	8.49026432695	9.87366468609	11.1943743729	10.9720226843	9.62786952559	10.0796500572	12.6743237679	10.7905308911	9.84506456287	9.99291080495
MCT.f.0143	14.9090507891	13.0214354325	0.0	14.7551901846	16.6720877483	17.236667211	13.4203513467	15.8435176135	15.3341134699	13.3068155411	15.3939473758	16.0829173548	12.2168641594
MCT.f.0144	9.39378970139	8.49026432695	14.7551901846	0.0	7.63992545691	10.730839489	10.9021809654	10.2161578668	10.4606578621	13.6992901365	11.6553814895	10.4177371136	11.8890413846
MCT.f.0145	9.33335059768	9.87366468609	16.6720877483	7.63992545691	0.0	9.42514137917	9.74616428821	8.16502364252	8.18991614996	15.0199326474	12.3063428058	9.79172084992	12.2953551021
MCT.f.0146	11.0096510336	11.1943743729	17.236667211	10.730839489	9.42514137917	0.0	11.0681951768	10.2952186412	9.55216376914	16.6532319009	11.0743856363	9.44310400984	13.7027475647
MCT.f.0147	11.5401328985	10.9720226843	13.4203513467	10.9021809654	9.74616428821	11.0681951768	0.0	9.23597458303	9.18434272796	12.3101704892	11.1764545682	11.3873869466	10.2375020643
MCT.f.0148	10.7376891897	9.62786952559	15.8435176135	10.2161578668	8.16502364252	10.2952186412	9.23597458303	0.0	5.94692645147	13.3987155766	10.5798168005	9.4300606337	10.7993772876
MCT.f.0149	9.61081490987	10.0796500572	15.3341134699	10.4606578621	8.18991614996	9.55216376914	9.18434272796	5.94692645147	0.0	13.7592569422	10.5409978242	7.89896482735	10.8040596707
MCT.f.0150	14.6968242631	12.6743237679	13.3068155411	13.6992901365	15.0199326474	16.6532319009	12.3101704892	13.3987155766	13.7592569422	0.0	11.6402436094	13.5492330908	9.24391574422
MCT.f.0151	12.8166957376	10.7905308911	15.3939473758	11.6553814895	12.3063428058	11.0743856363	11.1764545682	10.5798168005	10.5409978242	11.6402436094	0.0	9.24170201028	10.1641449552
MCT.f.0152	10.4319802897	9.84506456287	16.0829173548	10.4177371136	9.79172084992	9.44310400984	11.3873869466	9.4300606337	7.89896482735	13.5492330908	9.24170201028	0.0	10.6228876354
MCT.f.0153	10.5443637071	9.99291080495	12.2168641594	11.8890413846	12.2953551021	13.7027475647	10.2375020643	10.7993772876	10.8040596707	9.24391574422	10.1641449552	10.6228876354	0.0
